questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=99729d5c09ec68a18e6cb9e326f59027b5c69bc74e05e8c8c0d825360370bf5e, content: ' In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes a...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5522157733860871)]",1.0,1.0,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,1930,"[Document(id=40f8be4bd0cd72dec74312c305ef1f0dfafbf98df7af989c47c915459e027963, content: ' Over the next several decades the Army set up a series of coastal artillery batteries and named the...', meta: {'name': 'San_Diego', 'source_id': '04aa1c0a61a5a047684cd62ea4175007928dadda83d273a78287bcdbb722ed63', 'page_number': 1}, score: 0.38883239661667707)]",0.0,0.44883856177330017,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Another raid was carried out on 11/12 May 1941,"[Document(id=eb6901a8f38708e4e25b2c3eace4bcc2eb6a667f1dde10b663f86c96897b3ec0, content: ' Another raid was carried out on 11/12 May 1941. Westminster Abbey and the Law Courts were damaged, ...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 0.5480045073379827)]",1.0,0.1221819818019867,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,inflectional,"[Document(id=8825405ebdc1bb4daf623185ae693fe4f2cab9da4dcca330ccb2ab3f6b05d6e5, content: ' The modern cognates of original words have been used whenever practical to give a close approximati...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.5456537412802707)]",1.0,0.3097653388977051,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,"low-church"" traditions of Protestantism","[Document(id=bbad1043bc2ff983eeca01fd03f84a8577a718a20a14adc37febb6fddb52936a, content: '
In The Church of Jesus Christ of Latter-day Saints (LDS Church), the teacher is an office in the Aa...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 0.5194444646640657)]",1.0,0.03650655969977379,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Olympiacos,"[Document(id=927ee26533dc7f17be50a4cb7fc74bed43a4bc44825d916333e6dd9c5d18c958, content: ' The Greek league, the A1 Ethniki, is considered one of the top volleyball leagues in Europe and the...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.6800230578684324)]",1.0,1.0,1.0,1.0,1.0
How many judges were on the panel for this season?,four,four,"[Document(id=52a0fae35f124062c7009aeb57cfa6fb15f201644550104b1c1a83c6f0449b3a, content: ' This season's judging panel consisted of Randy Jackson, along with Mariah Carey, Keith Urban and Ni...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 0.6542733508503982)]",1.0,0.9999999403953552,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=05e7c56a6da1ed703309ec6f627bc69c369ec51519a9e5eb8c442673c62365e4, content: ' Infrared can also be used to detect protostars before they begin to emit visible light. Stars emit ...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 0.7190365428634795)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=4437c778daec446c4362623ed3261e5ec4170314f4aa14f8381b8c7ee6eef3fe, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 0.7362191709321027)]",1.0,1.0000001192092896,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,two urban districts,"[Document(id=a102b81b2963aaefdf1a83d1a1d96870be10e96bb78da447e6f4a0220bbf260f, content: ' The equivalent of the Minister-President is the Senatspräsident (President of the Senate) in Bremen...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 0.5987085330383715)]",1.0,0.23566487431526184,1.0,1.0,1.0
